Cuota_Inicial__c,Presupuesto_inmueble_a_comprar__c,ingresos_totales__c,Ingresos_familiares__c,Calidad_de_lead__c,picklist_ciudad__c
60000000.0,380000000.0,5000000.0,5000000.0,Descalificado,Bogotá
15000000.0,160000000.0,4000000.0,4000000.0,Descalificado,Bogotá
5000000.0,90000000.0,1500000.0,1500000.0,Descalificado,Bogotá
20000000.0,180000000.0,5000000.0,5000000.0,Descalificado,Bogotá
5000000.0,260000000.0,4000000.0,4000000.0,Descalificado,Bogotá
100000000.0,1000000000.0,17000000.0,17000000.0,Descalificado,Bogotá
30000000.0,400000000.0,7000000.0,7000000.0,Descalificado,Bogotá
24000000.0,160000000.0,3700000.0,3700000.0,Descalificado,Barranquilla
30000000.0,350000000.0,22000000.0,22000000.0,Descalificado,Bogotá
8000000.0,120000000.0,1600000.0,1600000.0,Descalificado,Bogotá
15000000.0,200000000.0,2800000.0,2800000.0,Descalificado,Bogotá
5000000.0,150000000.0,4000000.0,4000000.0,Descalificado,Cúcuta
40000000.0,210000000.0,6000000.0,6000000.0,Alta,Bogotá
4000000.0,250000000.0,2300000.0,2300000.0,Descalificado,Bogotá
50000000.0,250000000.0,6000000.0,6000000.0,Alta,Bogotá
5000000.0,110000000.0,2000000.0,2000000.0,Descalificado,Bogotá
10000000.0,250000000.0,8000000.0,8000000.0,Descalificado,Bogotá
61750000.0,,5950000.0,5950000.0,Descalificado,
64650000.0,215500000.0,6500000.0,6500000.0,Descalificado,
20000000.0,190000000.0,4000000.0,4000000.0,Descalificado,Bogotá
40000000.0,250000000.0,6000000.0,6000000.0,Media,Bogotá
25000000.0,150000000.0,5000000.0,5000000.0,Descalificado,
5000000.0,325000000.0,4000000.0,4000000.0,Descalificado,Bogotá
20000000.0,350000000.0,3000000.0,3000000.0,Descalificado,Medellín
30000000.0,400000000.0,12000000.0,12000000.0,Descalificado,Medellín
4000000.0,145000000.0,1300000.0,1300000.0,Descalificado,Bogotá
50000000.0,500000000.0,15000000.0,15000000.0,Descalificado,Bogotá
5000000.0,160000000.0,5000000.0,5000000.0,Descalificado,Bogotá
20000000.0,650000000.0,7000000.0,7000000.0,Descalificado,Medellín
0.0,160000000.0,2200000.0,2200000.0,Descalificado,Bogotá
2000000.0,175000000.0,1800000.0,1800000.0,Descalificado,Bogotá
50000000.0,300000000.0,20000000.0,20000000.0,Descalificado,
100000000.0,930000000.0,22000000.0,22000000.0,Descalificado,Medellín
5000000.0,,2000000.0,2000000.0,Descalificado,Bogotá
4000000.0,250000000.0,4200000.0,4200000.0,Descalificado,Bogotá
6000000.0,120000000.0,2800000.0,2800000.0,Descalificado,Cali
26000000.0,145000000.0,1300000.0,1300000.0,Descalificado,Bogotá
10000000.0,100000000.0,1300000.0,1300000.0,Descalificado,Medellín
20000000.0,180000000.0,6500000.0,6500000.0,Descalificado,Barranquilla
5000000.0,5000000.0,2000000.0,2000000.0,Descalificado,Pereira
5000000.0,2000000.0,2000000.0,2000000.0,Descalificado,Pereira
10000000.0,130000000.0,4000000.0,4000000.0,Descalificado,Bogotá
5000000.0,145000000.0,4000000.0,4000000.0,Descalificado,Bogotá
25000000.0,25000000.0,4800000.0,4800000.0,Descalificado,Bogotá
40000000.0,240000000.0,3150000.0,3150000.0,Descalificado,Bogotá
15000000.0,120000000.0,1470000.0,1470000.0,Descalificado,Bogotá
25000000.0,400000000.0,8000000.0,8000000.0,Descalificado,Bogotá
70000000.0,350000000.0,8900000.0,8900000.0,Descalificado,
0.0,350000000.0,6000000.0,6000000.0,Descalificado,Bogotá
3000000.0,150.0,2000000.0,2000000.0,Descalificado,Bogotá
5000000.0,150000000.0,3000000.0,3000000.0,Descalificado,Bogotá
60000000.0,300000000.0,12000000.0,12000000.0,Alta,Bogotá
100000000.0,600.0,16900000.0,16900000.0,Descalificado,Bogotá
47000000.0,233000000.0,4000000.0,4000000.0,Media,Bogotá
100000000.0,500.0,3000000.0,3000000.0,Descalificado,Bogotá
100000000.0,500000000.0,3000000.0,3000000.0,Descalificado,Bogotá
100000000.0,400000000.0,6000000.0,6000000.0,Descalificado,Bogotá
40000000.0,240000000.0,9500000.0,9500000.0,Descalificado,
25000000.0,100000000.0,1700000.0,1700000.0,Media,Bogotá
90000000.0,600000000.0,16900000.0,16900000.0,Descalificado,Bogotá
42500000.0,139000000.0,1838000.0,1838000.0,Descalificado,Bogotá
75000000.0,165000000.0,4000000.0,4000000.0,Alta,Bogotá
0.0,200000000.0,5000000.0,5000000.0,Descalificado,Bogotá
25000000.0,115000000.0,2900000.0,2900000.0,Descalificado,
30000000.0,300000000.0,8000000.0,8000000.0,Descalificado,Bogotá
30000000.0,180000000.0,5500000.0,5500000.0,Descalificado,
5000000.0,200000000.0,3000000.0,3000000.0,Descalificado,Bogotá
35000000.0,350000000.0,3500000.0,3500000.0,Descalificado,Bogotá
30.0,250.0,6000000.0,6000000.0,Descalificado,Medellín
15000000.0,250000000.0,9000000.0,9000000.0,Descalificado,Bogotá
25000000.0,134000000.0,7000000.0,7000000.0,Alta,Bogotá
