pctcuota_inicial__c,Presupuesto_inmueble_a_comprar__c,de_ingresos_sobre_el_inmueble__c,picklist_ciudad__c,Calidad_de_lead__c
6.0,250000000.0,3.83,1,-1
18.66,134000000.0,6.42,1,1
22.5,200000000.0,8.39,1,1
4405.569988670977,248711054.43550834,-910.2272465557459,0,-1
33.33,150000000.0,5.0,1,1
33.33,150000000.0,5.0,0,-1
13.33,150000000.0,1.23,1,-1
33.33,150000000.0,50.0,0,-1
4405.569988670977,248711054.43550834,-910.2272465557459,0,-1
4405.569988670977,248711054.43550834,-22.5,0,-1
0.13,400000000.0,1.25,1,-1
0.0,100000000.0,1.3,1,-1
0.0,120000000.0,3.33,1,-1
6.25,480000000.0,1.0,1,-1
20.0,320000000.0,6.25,1,1
0.0,250000000.0,1.44,1,-1
6.0,250000000.0,1.7,1,-1
20.0,100000000.0,7.5,0,-1
50.0,450000000.0,5.47,1,1
66.67,15000000.0,400.0,1,-1
4405.569988670977,248711054.43550834,-910.2272465557459,0,-1
16.67,300000000.0,3.8,1,1
38.46,260000000.0,4.06,0,-1
6.67,300000000.0,0.36,1,-1
1.0,123456712.0,10.1,0,-1
0.0,850000000.0,2.24,1,-1
16.67,150000000.0,3.2,1,1
42.86,490000000.0,4.29,1,1
19.55,220000000.0,2.26,1,0
16.88,160000000.0,5.26,0,-1
0.0,300000000.0,1.33,1,-1
2.0,250000000.0,1.63,1,-1
17.39,230000000.0,2.11,1,0
39.22,255000000.0,3.55,1,1
6.67,300000000.0,2.14,1,-1
10.0,200000000.0,2.22,0,-1
17.28,405000000.0,3.28,0,-1
4405.569988670977,248711054.43550834,-200000.0,1,-1
5.45,165000000.0,2.24,1,-1
0.0,400000000.0,0.23,1,-1
4.35,230000000.0,1.36,1,-1
41.18,170000000.0,7.0,1,1
10.0,0.0,4444.44,1,-1
10.0,0.0,4444.44,1,-1
10.0,0.0,4444.44,1,-1
0.0,400000000.0,2.0,1,-1
6.67,180000000.0,0.83,1,-1
53.1,113000000.0,6.91,0,-1
13.79,290000000.0,2.28,1,0
3.33,150000000.0,2.41,0,-1
100.0,6000000.0,-910.2272465557459,0,-1
0.0,400000000.0,1.75,0,-1
16.51,212000000.0,2.26,1,0
0.0,450000000.0,1.78,1,-1
4405.569988670977,0.0,-158.33,1,-1
5.0,400000000.0,2.11,0,-1
1.05,190000000.0,1.01,1,-1
3.33,450000000.0,1.38,1,-1
28.89,450000000.0,4.69,1,1
25.0,160000000.0,8.33,0,-1
4.44,180000000.0,1.57,1,-1
29.52,135500000.0,4.29,0,-1
33.33,300000000.0,2.0,1,-1
7.5,200.0,2.7,1,-1
10.0,200000000.0,2.78,0,-1
30.0,580000000.0,67.24,1,-1
4405.569988670977,248711054.43550834,-86.67,1,-1
0.0,200000000.0,3.0,1,-1
5.0,400000000.0,5.0,1,-1
16.25,240000000.0,2.74,1,0
0.0,140000000.0,1.07,1,-1
42.86,350000000.0,2.5,1,0
10.0,400000000.0,1.94,1,-1
75.0,240000000.0,33.33,0,-1
1.45,690000000.0,2.21,1,-1
15.34,163000000.0,3.62,1,0
4405.569988670977,248711054.43550834,-910.2272465557459,1,-1
1.33,150000000.0,1.01,1,-1
2.5,200000000.0,2.72,1,-1
5.0,200000000.0,3.16,1,-1
20.0,150000000.0,4.17,1,1
20.0,150000000.0,4.17,0,-1
7.89,190000000.0,1.03,1,-1
4405.569988670977,248711054.43550834,-46.67,1,-1
7.14,280000000.0,1.06,1,-1
20.0,350000000.0,4.29,1,1
46.51,430000000.0,3.91,1,1
15.2,250000000.0,2.48,1,0
2.5,400000000.0,2.05,1,-1
19.55,220000000.0,2.26,1,0
15.56,450000000.0,9.47,1,0
45.49,153870000.0,4.17,0,-1
34.99,189000000.0,4.44,1,1
3333.33,600000.0,-82.47,1,-1
20.0,270000000.0,6.02,0,-1
2.06,1700000000.0,0.65,0,-1
3.33,300000000.0,0.79,1,-1
10.0,123456789.0,211.11,0,-1
3.6,250000000.0,1.45,0,-1
70.0,1000000000.0,8.33,1,-1
0.0,250000000.0,1.16,1,-1
20.0,250000000.0,1.75,1,-1
46.15,390000000.0,2.76,1,0
15.71,700000000.0,3.39,1,-1
17.62,227000000.0,3.16,1,1
26.09,460000000.0,7.5,1,1
8.7,230000000.0,2.14,1,-1
16.76,370000000.0,6.69,0,-1
15.42,240000000.0,2.71,1,0
32.0,250000000.0,2.94,1,0
36.33,180000000.0,4.8,0,-1
20.0,250000000.0,6.0,1,1
30.0,370000000.0,2.7,0,-1
18.75,160000000.0,3.85,0,-1
4405.569988670977,248711054.43550834,-4.17,0,-1
14.55,550000000.0,3.3,0,-1
45.45,220000000.0,5.0,1,1
43.33,300000000.0,1.76,0,-1
43.33,300000000.0,2.12,0,-1
41.67,120000000.0,6.43,1,1
45.45,110000000.0,33.33,1,1
45.45,110000000.0,8.33,1,1
17.65,170000000.0,7.14,1,1
4405.569988670977,248711054.43550834,-910.2272465557459,0,-1
4405.569988670977,248711054.43550834,-910.2272465557459,0,-1
14.59,185000000.0,1.46,1,-1
4405.569988670977,248711054.43550834,-910.2272465557459,0,-1
45.45,110000000.0,8.33,1,1
4405.569988670977,248711054.43550834,-140.0,1,-1
2.78,180000000.0,2.4,1,-1
45.45,110000000.0,8.33,1,1
4.49,5235235235.0,0.51,0,-1
4405.569988670977,248711054.43550834,-910.2272465557459,0,-1
4405.569988670977,248711054.43550834,-910.2272465557459,0,-1
4405.569988670977,248711054.43550834,-910.2272465557459,0,-1
4405.569988670977,248711054.43550834,-910.2272465557459,0,-1
4405.569988670977,248711054.43550834,-910.2272465557459,0,-1
16.88,160000000.0,5.26,1,1
27.59,58000000.0,11.67,0,-1
30.0,370000000.0,3.86,0,-1
8.33,120000000.0,3.64,1,-1
35.0,380000000.0,3.24,1,1
18.52,270000000.0,3.64,0,-1
2.5,240000000.0,1.28,1,-1
20.0,500000000.0,7.5,1,1
20.0,500000000.0,4.25,1,1
0.0,180000000.0,1.94,1,-1
36.36,550000000.0,3.43,1,-1
1.0,100000000.0,1.31,1,-1
0.5,500000000.0,0.6,1,-1
7.5,200000000.0,3.78,1,-1
32.52,615000000.0,2.89,1,-1
16.5,210000000.0,10.45,1,1
17.65,170000000.0,3.5,0,-1
4405.569988670977,248711054.43550834,-910.2272465557459,1,-1
0.0,150000000.0,1.53,1,-1
20.0,250000000.0,9.5,1,1
18.75,160000000.0,3.46,1,1
50.0,140000000.0,14.29,0,-1
19.55,220000000.0,2.26,1,0
18.73,267000000.0,3.69,1,1
20.0,200000000.0,6.25,1,1
0.01,-4.0,0.0,1,-1
0.0,450000000.0,0.0,0,-1
1.67,300000000.0,0.68,0,-1
7.33,300000000.0,2.52,1,-1
37.5,400000000.0,3.2,1,1
0.0,300000000.0,0.67,1,-1
227.27,22000000.0,-36.79,0,-1
33.33,150000000.0,4.6,0,-1
15.0,200000000.0,3.53,1,0
30.02,423000000.0,5.54,0,-1
6.67,450000000.0,2.86,0,-1
5.0,300000000.0,1.89,1,-1
16.67,180000000.0,2.67,1,0
6.67,450000000.0,0.43,1,-1
6.67,450000000.0,0.43,1,-1
6.67,450000000.0,0.43,1,-1
6.67,450000000.0,0.43,1,-1
6.67,450000000.0,0.43,1,-1
3.02,165500000.0,0.81,1,-1
8.0,250000000.0,2.17,1,-1
428.57,70000000.0,-2.39,0,-1
32.26,310000000.0,19.05,1,1
20.0,156200000.0,6.4,1,1
16.67,120000000.0,6.5,1,1
0.0,300000000.0,0.83,1,-1
23.08,260000000.0,7.5,1,1
1.05,190000000.0,1.33,1,-1
15.79,190000000.0,2.5,1,0
16.52,230000000.0,2.08,1,-1
20.0,500000000.0,4.5,0,-1
16.45,152000000.0,3.62,0,-1
20.0,330000000.0,3.79,1,1
15.56,450000000.0,1.71,1,-1
23.81,210000000.0,2.5,1,0
12.0,250000000.0,4.55,1,-1
1.54,650000000.0,0.78,1,-1
14.0,250000000.0,4744.19,1,0
4.0,50000000.0,5.21,0,-1
13.33,195000000.0,1.54,1,-1
30.77,195000000.0,1.93,1,-1
30.77,195000000.0,1.93,1,-1
0.0,150000000.0,1.07,1,-1
25.0,160000000.0,3.92,0,-1
0.0,190000000.0,1.26,1,-1
8.0,500000000.0,1.09,1,-1
3.85,130000000.0,1.04,0,-1
5.0,200000000.0,3.68,1,-1
5.45,550000000.0,0.96,1,-1
10.71,280.0,2.0,1,-1
4405.569988670977,248711054.43550834,-910.2272465557459,1,-1
3.0,200000000.0,1.55,1,-1
0.0,189000000.0,1.01,1,-1
0.0,200000000.0,2.45,1,-1
14.0,500000000.0,1.16,1,-1
8.33,120000000.0,2.73,0,-1
4.35,230000000.0,1.59,1,-1
7.14,350000000.0,1.23,1,-1
4405.569988670977,248711054.43550834,-910.2272465557459,1,-1
4405.569988670977,248711054.43550834,-910.2272465557459,1,-1
1.5,400000000.0,1.02,1,-1
8.33,180000000.0,3.33,1,-1
0.0,150000000.0,1.0,1,-1
3.33,300000000.0,2.07,1,-1
17.56,450000000.0,3.48,1,1
0.0,120000000.0,1.5,1,-1
10.0,1000000000.0,1.67,1,-1
17.5,400000000.0,3.03,1,1
11.67,240000000.0,4.63,0,-1
1.67,120000000.0,1.53,1,-1
0.0,470000000.0,0.99,1,-1
6.84,190000000.0,2.54,0,-1
8.33,360000000.0,3.33,1,-1
7.5,200000000.0,1.24,1,-1
0.0,190000000.0,3.68,1,-1
0.53,190000000.0,1.06,1,-1
100.0,1500000.0,-910.2272465557459,1,-1
3.33,150000000.0,1.52,1,-1
16.67,120000000.0,2.3,1,0
0.0,250000000.0,3.2,1,-1
15.0,100000000.0,3.29,1,0
0.8,250000000.0,2.82,1,-1
7.5,200000000.0,1.84,1,-1
3.33,150000000.0,2.62,1,-1
0.63,160000000.0,3.14,1,-1
4405.569988670977,248711054.43550834,-280.0,0,-1
0.56,180000000.0,1.56,0,-1
27.78,180000000.0,1.54,1,-1
38.89,180000000.0,1.82,1,-1
0.0,220.0,0.18739872287393963,1,-1
0.0,180000000.0,2.0,1,-1
20.0,200000000.0,2.81,1,0
29.8,198000000.0,7.14,1,1
5.71,350000000.0,1.03,1,-1
0.0,180000000.0,1.67,1,-1
4405.569988670977,248711054.43550834,-910.2272465557459,1,-1
0.0,260000000.0,0.69,1,-1
0.0,150000000.0,1.47,1,-1
17.65,212500000.0,28.57,1,1
17.86,140000000.0,4.61,1,1
0.0,180000000.0,0.83,1,-1
16.32,190000000.0,1.89,1,-1
4.17,480000000.0,1.15,1,-1
4405.569988670977,0.0,-910.2272465557459,1,-1
30.56,360000000.0,7.45,0,-1
0.0,175000000.0,1.71,1,-1
0.0,250000000.0,2.04,1,-1
55.56,360000000.0,3.13,1,1
1.67,300000000.0,1.66,1,-1
1.0,200000000.0,1.11,1,-1
3.33,300000000.0,1.72,1,-1
6.0,200000000.0,1.6,1,-1
0.0,100000000.0,1.3,1,-1
0.8,250000000.0,2.42,1,-1
26.92,1300000000.0,3.16,1,-1
21.89,169000000.0,3.41,0,-1
42.74,175500000.0,3.98,1,1
4166.67,360000.0,-34.15,1,-1
3.0,100000000.0,1.03,0,-1
58.33,120000000.0,7.0,1,1
14.97,167000000.0,3.88,0,-1
4405.569988670977,248711054.43550834,-910.2272465557459,1,-1
37.59,399000000.0,3.73,0,-1
16.58,380000000.0,5.68,1,1
5.0,120000000.0,1.75,1,-1
4.17,120000000.0,3.48,1,-1
